Source Question,Ground Truth,Source Answer,Extra Information,Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
who is entitled to a 21 gun salute?,Presidents - elect,heads of state,these honors are extended to foreign heads of state when in state visit .,these honors,What are given to foreign person entitled to a 21 gun salute when in a state visit ?,a 21 - gun salute,0.846153846,0.916666667,0.44844052,[0.44844052],FP
what are the names of the 7 deadly sins?,lust,envy,abusing that faculty with pride or envy weighs down the soul the most .,the soul,What does abusing that faculty with pride or the names of the 7 deadly sins weigh down the most ?,envy,0.833333333,0.833333333,0.38149714,[0.38149714],SA
where is the real statue of david located?,"Galleria dell'Accademia , Florence ,",florence,david " has stood on display at florence ' s galleria dell ' accademia since 1873 .,david ",What has stood on display at the real statue of david located ' s galleria dell ' accademia since 1873 ?,david,0.857142857,0.8,0.5331683,"[0.99999994, 0.06633675]",NA
who plays the daughter in the 40 year old virgin?,Kat Dennings,saoirse ronan,it is the film debut of academy award nominated irish actress saoirse ronan .,the film debut of academy award,What award nominated actress the person plays the daughter in the 40 year old virgin ?,saoirse ronan,1,0.769230769,0,"[0, 0, 0, 0]",SA
who has the legal authority to bind the us government on a us government contract?,Federal Acquisition Regulation,contracting officer,""" contracting officer a contracting officer ( co or ko ) is a person who can bind the federal government of the united states to a contract that is greater than the micro - purchase threshold .",the federal government of the united states,Who can a person has the legal authority to bind the us government on a us government contract bind to a contract that is greater than the micro - purchase threshold ?,contracting officer,1,0.724137931,0.41244525,"[0.3994578, 0.5185196, 0.3586101, 0.37319356]",SA
what kind of writing is in the bible?,sacred texts or scriptures,epistles,the letters in the new testament from apostles to christians are usually referred to as epistles .,christians,The letters in the new testament from apostles to whom are usually referred to as the kind of writing that is in the bible ?,epistles,1,1,0.34620535,[0.34620535],SA
who won the nba finals in the last four years?,Golden State Warriors,golden state warriors,the western conference champion golden state warriors defeated the defending nba champion and eastern conference champion cleveland cavaliers 4 games to 1 .,the defending nba champion and eastern conference champion cleveland cavaliers 4 games,How many games did the person won the nba finals in the last four years win ?,4,0.928571429,0.722222222,0.07728329,"[-0.091993265, 0.24336977, -0.103571184, -0.010400864, -0.0799059, -0.103571184, -0.040531993, -0.06439907, 0.99999994, 0.023836693]",FP
who played the part of maria in west side story on broadway?,Carol Lawrence,carol lawrence,carol lawrence received the 1958 theatre world award .,the 1958 theatre world award,What award did the person played the part of maria in west side story on broadway receive ?,carol lawrence,1,1,0.26508844,"[0.117859095, 0.3192373, 0.32134727, 0.30191013]",NA
what beatles album is 8 days a week on?,Beatles for Sale,beatles for sale,the song was released in the united kingdom in december 1964 on the album " beatles for sale " .,the song,What was released in the united kingdom in 1964 on the album " 8 days a week on " ?,beatles for sale,1,0.933333333,0.53409564,[0.53409564],FP
where is the primary somatosensory cortex located in the brain?,the postcentral gyrus,postcentral gyrus,postcentral gyrus the postcentral gyrus is a prominent gyrus in the lateral parietal lobe of the human brain .,the lateral parietal lobe of the human brain,The primary somatosensory cortex located in the brain is located in what part of the brain ?,postcentral gyrus,0.846153846,0.846153846,0.5796323,"[0.6095793, 0.6745837, 0.59367156, 0.49018297, 0.53014404]",NA
what team has the most super bowls in the nfl?,the New England Patriots,the pittsburgh steelers,the pittsburgh steelers won four super bowls,four super bowls,How many super bowls did the team has the most super bowls in the nfl win ?,six,1,1,0.5381045,"[0.9430055, 0.30603963, 0.36526817]",SA
what is the saltiest body of water on earth?,Gaet'ale Pond,the dead sea,probably the best - known hypersaline lakes are the dead sea ( 34 .,the best - known hypersaline lakes,What are the saltiest body of water on earth ?,the dead sea,1,0.75,0.35120445,"[0.38540685, -0.052984074, 0.44052866, 0.48445445, 0.49861622]",SA
who won fifa world cup 2018 runner up?,Croatia,croatia,the match was the first world cup final for croatia in their fifth world cup appearance .,the first world cup final,What was the match for the person won fifa world cup 2018 runner up in their fifth world cup appearance ?,croatia,1,1,0.25469428,"[0.15624082, 0.33207372, 0.33650592, 0.19395672]",NA
who plays quita on the haves and the have nots?,Danielle Deadwyler,danielle deadwyler,danielle deadwyler danielle deadwyler is an american actress and writer .,an american actress and writer,Who is the person plays quita on the haves and the have nots ?,danielle deadwyler,1,1,0.3160618,"[0.28234196, 0.36488667, 0.3009568]",NA
what is the process that allows liquid water to return to the earth from the atmosphere?,Evaporation,desalination,the passarell process uses reduced atmospheric pressure rather than heat to drive evaporative desalination .,the passarell process,What process uses reduced atmospheric pressure rather than heat to drive evaporative process that allows liquid water to return to the earth from the atmosphere ?,passarell,1,1,0.5,"[1.0, 0]",SA
where do i find the url of a website?,address bar,above the page in an address bar,most web browsers display the url of a web page above the page in an address bar .,most web browsers,What displays the url of a web page the location i find the url of a website ?,address bar,0.928571429,0.928571429,0.3042666,"[0.35566482, 0.25286838]",FP
who ends up with lucas in one tree hill?,Peyton,peyton,peyton is then forced to tell jake about the kiss she and lucas shared on the day of the shooting .,jake,Who tells the person ends up with lucas in one tree hill about the kiss she and lucas shared on the day of the shooting ?,peyton,0.928571429,0.722222222,0.5793119,[0.5793119],NA
what is the biggest crop in the world?,Sugarcane,rice,the average world yield for rice was 4 .,4,What is the average world yield for the biggest crop in the world ?,rice,0.875,0.875,0.032061815,[0.032061815],SA
where did most of the fighting take place in ww1?,European theatre,the western front,the most famous use of trench warfare is the western front in world war i .,the most famous use of trench warfare,What is the location most of the fighting take place in ww1 ?,the western front,1,0.714285714,0.40649396,"[0.41484502, 0.35442835, 0.48872143, 0.36798093]",FP
where is olympic national park located in washington?,Olympic Peninsula,olympic peninsula,the olympic peninsula is represented in the u .,the u,The olympic national park located in washington is represented in what ?,u.s. house of representatives,1,1,0.5992284,[0.5992284],NA
what did germany do to try to prevent goods from reaching great britain?,commerce raiders,blockade,a blockade was considered useful,useful,What was a thing germany do to try to prevent goods from reaching great britain considered ?,blockade,1,1,0.25089073,[0.25089073],SA
which amendment to the constitution contains the equal protection clause?,Fourteenth Amendment,fourteenth,such doubts were one factor that led congress to begin to draft and debate what would become the equal protection clause of the fourteenth amendment .,such doubts,What was one factor that led congress to draft and debate the equal protection clause of the amendment to the constitution contains the equal protection clause amendment ?,congress did not have the constitutional authority to pass such a law,0.947368421,0.782608696,0.40798962,[0.40798962],NA
who won women's cricket world cup 2016?,England,west indies,the west indies first match off the tournament was a close low scoring game against pakistan .,a close low scoring game,What was the first match of the person won women's cricket world cup 2016 tournament ?,pakistan,0.923076923,0.8,0.15342747,"[0.108992465, 0.15053365, 0.14727668, 0.20690708]",SA
what is the lining of the mouth called?,oral mucosa,oral mucosa,the oral mucosa is the mucous membrane epithelium lining the inside of the mouth .,the mucous membrane epithelium lining,What is the lining of the mouth called ?,oral mucosa,1,0.727272727,0.56455255,"[0.55578345, 0.47515258, 0.78539014, 0.44188395]",FP
who sang the song brandy in the 70s?,Looking Glass,looking glass,this song is not related to the song by looking glass .,the song,What is not related to the song by the person sang the song brandy in the 70s ?,mandy,1,0.9,0.42828616,[0.42828616],FP
who has won the last 5 nba championships?,Golden State Warriors,golden state warriors,the western conference champion golden state warriors defeated the defending nba champion and eastern conference champion cleveland cavaliers 4 games to 1 .,the defending nba champion and eastern conference champion cleveland cavaliers 4 games,How many games did the person won the last 5 nba championships win ?,5,0.928571429,0.722222222,0.07234076,"[-0.09945141, 0.2513382, -0.11206306, -0.015767189, -0.08138947, -0.11206306, -0.03681398, -0.06421988, 0.9887475, 0.005089927]",FP
which film was the biggest box office hit of the 1960s?,The Sound of Music,gone with the wind,""" gone with the wind "" won eight oscars and two special awards .",eight oscars and two special awards,How many awards did " the film that was the biggest box office hit of the 1960s " win ?,eight,1,0.916666667,0.57011104,"[1.0, 0.27716285, 0.8070231, 0.38250148, 0.383868]",SA
which channel is world cup 2018 on in india?,Sony Pictures Networks,sony pictures networks,sony pictures networks bagged the indian subcontinent telecast rights for the 2018 fifa world cup .,the indian subcontinent telecast rights,What rights did the channel that is world cup 2018 on in india bag for the 2018 fifa world cup ?,sony pictures networks,1,1,0.40406913,"[0.41239935, 0.3508456, 0.44288287, 0.41014862]",NA
who is the winner of 2018 royal rumble?,Shinsuke Nakamura,shinsuke nakamura,the men ' s royal rumble match was won by shinsuke nakamura .,the men ' s royal rumble match,What was won by the winner of 2018 royal rumble ?,shinsuke nakamura,0.909090909,0.833333333,0,"[0, 0, 0, 0, 0]",NA
who has the most balks in baseball history?,Steve Carlton,ty cobb,ty cobb holds the record for highest career batting average with .,the record,What does the person has the most balks in baseball history hold for highest career batting average ?,ty cobb,1,0.909090909,0.20119867,[0.20119867],SA
where are the group of cells that control the natural resting heart rate found?,sinoatrial node,the sinoatrial node,the heart rate is rhythmically generated by the sinoatrial node .,the heart rate,What is generated by the group of cells that control the natural resting heart rate found ?,sa node,1,0.888888889,0.32674187,"[0.3064438, 0.3470399]",NA
where is the primary somatosensory cortex located in the brain?,the postcentral gyrus,postcentral gyrus,- - postcentral gyrus - postcentral gyrus the postcentral gyrus is a prominent gyrus in the lateral parietal lobe of the human brain .,the lateral parietal lobe of the human brain . - -,The primary somatosensory cortex located in the brain is a prominent gyrus in what part of the brain ?,postcentral gyrus,0.933333333,1,0.39540362,"[0.6095793, 0.6745837, 0.59367156, 0.49018297, 0.53014404, 0.0726215, 0.09622295, 0.09622295]",NA
who has the most balks in baseball history?,Steve Carlton,ty cobb,ty cobb holds the record for highest career batting average with .,the record,What does the person has the most balks in baseball history hold for highest career batting average ?,ty cobb,1,0.909090909,0.20119867,[0.20119867],SA
who has won the last 5 nba championships?,Cleveland Cavaliers,golden state warriors,the western conference champion golden state warriors defeated the defending nba champion and eastern conference champion cleveland cavaliers 4 games to 1 .,the defending nba champion and eastern conference champion cleveland cavaliers 4 games,How many games did the person won the last 5 nba championships win ?,5,0.928571429,0.722222222,0.07234076,"[-0.09945141, 0.2513382, -0.11206306, -0.015767189, -0.08138947, -0.11206306, -0.03681398, -0.06421988, 0.9887475, 0.005089927]",FP
where does the reed go on a clarinet?,the mouthpieces,mouthpiece,the formation of the mouth around the mouthpiece and reed is called the " embouchure " .,the " embouchure ",What is the formation of the mouth around the location the reed go on a clarinet and reed called ?,embouchure,1,1,0.29144812,"[-0.062827796, 1.0, -0.062827796]",NA
who does the voice of hans in frozen?,Santino Fontana,santino fontana,hans is voiced by santino fontana in the film .,hans,Who is voiced by the person does the voice of hans in frozen in the film ?,santino fontana,1,1,0.37659886,[0.37659886],FP
what do they call snowboarders in johnny tsunami?,Urchins,urchins,brett ' s friends congratulate johnny and are inspired to learn how to snowboard with the urchins .,johnny and,Who are brett ' s friends inspired to learn how to snowboard with the thing they call snowboarders in johnny tsunami ?,urchins,0.928571429,0.8125,0.2904423,[0.2904423],NA
what is the name of the scotty dog in lady and the tramp?,Jock,jock,hubert was later replaced with jock and trusty .,hubert,What was replaced with the name of the scotty dog in lady and the tramp and trusty ?,jock,1,0.875,0.35071138,[0.35071138],NA
who wrote the song i'm not going to miss you?,Glen Campbell,julian raymond,julian raymond julian raymond is an american songwriter and music producer .,an american songwriter and music producer,What is the person wrote the song i'm not going to miss you ?,julian raymond,1,1,0.33761925,"[0.40219975, 0.30250672, 0.31217647, 0.33359414]",FP
who's opening for panic at the disco 2019?,Betty Who,a r i z o n a,a r i z o n a and hayley kiyoko were announced as the opening acts .,the opening acts,opening for panic at the disco 2019 and hayley kiyoko were announced as what ?,a r i z o n a,1,1,-0.10790114,"[-0.13833745, -0.07746484]",SA
which channel is world cup 2018 on in india?,AirTel TV,sony pictures networks,sony pictures networks bagged the indian subcontinent telecast rights for the 2018 fifa world cup .,the indian subcontinent telecast rights,What rights did the channel that is world cup 2018 on in india bag for the 2018 fifa world cup ?,sony pictures networks,1,1,0.40406913,"[0.41239935, 0.3508456, 0.44288287, 0.41014862]",SA
who initiated the game of cricket among india and how?,The East India Company,the east india company,the east india company was the means by which cricket was introduced into india .,which cricket,What was introduced into india by the person initiated the game of cricket among india and how ?,east india company,1,0.909090909,0.43392557,[0.43392557],NA
who is in charge of administering the supreme court?,The Chief Justice,the united states attorney general,the current line of succession is : united states attorney general the united states attorney general ( a .,the current line of succession,What is in charge of administering the supreme court ?,the united states attorney general,1,0.769230769,0.49194655,"[0.6412533, 0.45555204, 0.37903422]",FP
which city is on the east side of san francisco bay?,Oakland,oakland,oakland is the largest city in the east bay and the third largest in the bay area .,third largest,What is the ranking of the city that is on the east side of san francisco bay in the bay area ?,oakland,0.8,0.727272727,0.16181427,"[0.14918002, 0.17444853]",NA
where are intrauterine devices (iuds) placed in a woman's body?,uterus,uterus,the arms of the frame hold the iud in place near the top of the uterus .,the iud,What is held in place near the top of the intrauterine devices (iuds) placed in a woman's body ?,arms of the frame,0.8,0.727272727,-0.04619962,[-0.04619962],NA
who appoints the high court judge of india?,President,president,judges used to be appointed by the president on the advice of the union cabinet .,judges,What was appointed by the person appoints the high court judge of india on the advice of the union cabinet ?,collegium,0.909090909,0.769230769,0.3848611,[0.3848611],NA
where is sperm stored in the human body?,in the epididymis,epididymis,maturation occurs in the epididymis .,maturation,What occurs in the location stored in the human body ?,epididymis,1,1,0.39121354,[0.39121354],NA
what is a set of kettledrums in an orchestra called?,Timpani,timpani,a musician who plays timpani is a " timpanist " .,a " timpanist ",A musician who plays a set of kettledrums in an orchestra called is called what ?,timpanist,0.888888889,1,0.20052345,"[-0.19921482, 1.0, -0.19921482]",FP
who had a hit with house of the rising sun?,the Animals,the animals,dave marsh described the animals ' take on " the house of the rising sun " as " . . .,take,What did dave marsh describe the person had a hit with house of the rising sun ' take on " the house of the rising sun " ?,the first folk - rock hit,0.916666667,0.733333333,0.49198446,[0.49198446],FP
what are the names of the 7 deadly sins?,pride,envy,abusing that faculty with pride or envy weighs down the soul the most .,the soul,What does abusing that faculty with pride or the names of the 7 deadly sins weigh down the most ?,envy,0.833333333,0.833333333,0.38149714,[0.38149714],SA
who appoints the lieutenant governors of union territory?,the President,president of india,president of india is also chief administrator of union territories per .,chief administrator of union territories,What is the person appoints the lieutenant governors of union territory also known as ?,president of india,0.75,0.9,0.4907605,"[0.60680586, 0.5644077, 0.45259067, 0.33923766]",FP
who killed king geoffrey in game of thrones?,Lady Olenna Tyrell,tyrion,tywin sends tyrion to,tywin,Who sends the person killed king geoffrey in game of thrones to ?,tyrion,1,1,0,[0],SA
what type of writing is most similar to an autobiography a. poetry b. short story c. novel d. memoir?,memoir,novel,to be considered an autobiographical novel by most standards,most standards,What is it considered an autobiographical type of writing that is most similar to an autobiography a. poetry b. short story c. novel d. memoir by ?,novel,0.777777778,0.777777778,0.32581463,[0.32581463],SA
who bears the payment risk in a letter of credit?,the bank,the issuing bank,once the issuing bank has assessed the buyer ' s credit risk 每 i .,the buyer ' s credit risk 每 i,Once the person bears the payment risk in a letter of credit has assessed what ?,the buyer's credit risk,0.916666667,0.846153846,0.59165704,"[1.0, 0.017135782, 0.99999994, 1.0000001, -0.058850598]",SA
who played the part of maria in west side story on broadway?,Josie de Guzman,carol lawrence,carol lawrence received the 1958 theatre world award .,the 1958 theatre world award,What award did the person played the part of maria in west side story on broadway receive ?,carol lawrence,1,1,0.26508844,"[0.117859095, 0.3192373, 0.32134727, 0.30191013]",SA
what region of the country is missouri in?,Midwestern United States,midwestern,professional major league teams former professional major league teams missouri missouri is a state in the midwestern united states .,professional major league teams former professional major league teams missouri missouri,What is a state in the region of the country that is missouri in united states ?,midwestern,1,1,0.3984504,"[0.40943503, 0.4244153, 0.35626313, 0.27503282, 0.41092807, 0.40943503, 0.4244153, 0.35626313, 0.27503282, 0.5208669, 0.5208669]",FP
what part of the brain is front left?,frontal lobe,frontal lobe,there are four principal gyri in the frontal lobe .,four principal gyri,How many gyri are in the part of the brain that is front left ?,no answer>,1,0.888888889,0.26018018,"[0.3332753, 0.33129886, 0.11596639]",NA
which glands secrete the oily substance that lubricates the skin?,Sebaceous glands,sebaceous glands,the type of secretion of the sebaceous glands is referred to as holocrine .,holocrine,What is the type of secretion of the thing secrete the oily substance that lubricates the skin referred to as ?,sebaceous glands,1,1,0,[0],NA
who is the 1st runner up of nach baliye 8?,Abigail Pande and Sanam Johar,gurmeet choudhary,gurmeet choudhary was declared the best performer of the series .,the best performer of the series,What was the 1st runner up of nach baliye 8 declared ?,debina bonnerjee,1,1,0,"[0, 0, 0]",SA
who plays sara lance in dc legends of tomorrow?,Caity Lotz,caity lotz,caity lotz was announced to be playing " arrow ' s " version of black canary during july 2013 .,playing " arrow ' s " version of black canary during july 2013,What was the person plays sara lance in dc legends of tomorrow announced to be doing ?,caity lotz,0.888888889,0.888888889,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NA
who died in the book into thin air?,guide Andy Harris,krakauer,everest disaster is a 1997 bestselling non - fiction book written by jon krakauer .,everest disaster,What is the title of the 1997 bestselling book written by jon the person died in the book into thin air ?,into thin air,0.769230769,0.714285714,0.32494664,"[0.32679492, 0.32309836]",SA
what is the french word for french toast?,pain perdu,pain perdu,there are fifteenth - century english recipes for " pain perdu " .,fifteenth - century english recipes,What are there recipes for " the french word for french toast " ?,pain perdu,1,1,0.2406791,"[0.23523705, 0.054900117, 0.24366534, 0.3928634, 0.2767296]",FP
when did piracy hit its apex in the caribbean?,1660s to 1730s,the mid - 17th century,the mid - 17th century in the caribbean was again shaped by events in far - off europe .,far - off europe,What was the time piracy hit its apex in the caribbean shaped by ?,the mid - 17th century,1,0.733333333,0.565793,"[0.3274699, 1.0, 0.36990902]",FP
who is entitled to a 21 gun salute?,foreign Heads of State,heads of state,these honors are extended to foreign heads of state when in state visit .,these honors,What are given to foreign person entitled to a 21 gun salute when in a state visit ?,a 21 - gun salute,0.846153846,0.916666667,0.44844052,[0.44844052],SA
who was the greatest warrior for the trojans?,Hector,achilles,achilles ' most notable feat during the trojan war was the slaying of the trojan hero hector outside the gates of troy .,the slaying of the trojan hero hector,What was the greatest warrior for the trojans ' most notable feat during the trojan war ?,hector,0.923076923,0.705882353,0.37609363,"[0.07286558, 0.12320057, 0.30830842, 0.99999994]",SA
which channel will broadcast fifa world cup 2018 in india?,Sony Pictures Networks,sony pictures networks,sony pictures networks bagged the indian subcontinent telecast rights for the 2018 fifa world cup .,the indian subcontinent telecast rights,What rights did the channel broadcast fifa world cup 2018 in india bag for the 2018 fifa world cup ?,sony pictures networks,1,1,0.40406913,"[0.41239935, 0.3508456, 0.44288287, 0.41014862]",NA
who sang more than a feeling by boston?,Brad Delp,brad delp,tom scholz also credited former singer brad delp with helping to create boston ' s sound with his signature vocal style .,boston ' s sound with his signature vocal style,What did tom scholz credit former singer the person sang more than a feeling by boston with helping to create ?,boston's sound,0.833333333,0.75,0.566469,"[1.0, 0.017135782, 1.0, 0.3930756, 0.51596683, 0.47263604]",FP
what does opie s stand for in baseball stats?,On - base plus slugging,ops,gpa attempts to solve two frequently cited problems with ops .,gpa,Who tries to solve two frequently cited problems with the thing opie s stand for in baseball stats ?,aaron gleeman,0.9,0.9,0.21865314,[0.21865314],NA
what type of business is common in east texas?,patent holding companies,cattle,the cattle industry enjoyed its greatest financial success in the later 1870s and 1880s .,its greatest financial success,What did the type of business that is common in east texas industry have in the later 1870s and 1880s ?,cattle,0.923076923,0.923076923,0.2795826,"[0.2493404, 0.31594023, 0.2734671]",SA
who built the statue of zeus at olympia?,the Greek sculptor Phidias,phidias,phidias was the son of charmides of athens .,the son of charmides of athens,Who was the person built the statue of zeus at olympia ?,phidias,1,1,0,"[0, 0, 0]",SA
who sings the song begging you for mercy?,Duffy,duffy,duffy attributed the chart success to the fact that " everyone is searching for liberty . . .,the chart success,What did the person sings the song begging you for mercy attribute to the fact that " everyone is searching for liberty ?,duffy,1,0.933333333,0.1928226,"[0.18445168, 0.20119353]",NA
who played bass for crosby stills nash and young?,Greg Reeves,greg reeves,greg reeves greg reeves is an american bass guitarist .,an american bass guitarist,What is the person played bass for crosby stills nash and young ?,greg reeves,1,1,0.29440913,"[0.31544125, 0.31486395, 0.25292218]",FP
which last longer the mitotic phase or interphase?,interphase,interphase,all of the preparations are done during interphase .,all of the preparations,What is done during the last longer the mitotic phase or interphase ?,cytokinesis,0.875,0.875,0.4066178,[0.4066178],NA
what is the saltiest body of water on earth?,Gaet'ale Pond,the dead sea,examples of such brine lakes are the dead sea and the great salt lake .,examples of such brine lakes,What are the saltiest body of water on earth and the great salt lake ?,the dead sea,1,1,0.42931867,"[0.31003422, 0.47930557, 0.49861622]",SA
who are the two teams that played in the superbowl last year?,New England Patriots,new england patriots,the new england patriots won the opening coin toss and elected to defer to the second half .,the opening coin toss and elected,What did the two teams that played in the superbowl last year win ?,new england patriots,1,0.714285714,0.39729038,"[0.5658096, 0.3457201, 0.29349455, 0.38413724]",NA
what is the biggest crop in the world?,Sugarcane,rice,african rice helped africa conquer its famine of 1203 .,its famine of 1203,What did african biggest crop in the world help africa conquer ?,famine,0.777777778,0.777777778,0.5452413,"[0.99999994, 0.09048267]",SA
who won the battle of brice's crossroads?,Confederate victory,the confederates,the battle was a victory for the confederates .,a victory,What did the person won the battle of brice's crossroads receive from the battle ?,a medal,0.714285714,0.714285714,0.47356716,[0.47356716],NA
what is the prevalent wind flow in the tropics?,easterly surface winds,trade winds,trade winds also steer african - - trade winds - in africa .,africa,the prevalent wind flow in the tropics steer african in what ?,trade winds,1,0.75,0.30262256,[0.30262256],SA
which of the following is the si unit for length?,metre,metre,the metre is defined as the length of the path travelled by light in a vacuum in second .,second,The of the following that is the si unit for length is defined as the length of the path travelled by light in a vacuum in what unit ?,metre,0.9375,1,0.37048098,[0.37048098],FP
who played in last year's super bowl and who won?,New England Patriots,new england patriots,the new england patriots won the opening coin toss and elected to defer to the second half .,the opening coin toss and elected,What did the person played in last year's super bowl and who won win ?,new england patriots,1,0.714285714,0.39729038,"[0.5658096, 0.3457201, 0.29349455, 0.38413724]",FP
what led to the downfall of the incan empire?,Battle of Cajamarca,smallpox,the effects of smallpox on the inca empire were even more devastating .,even more,How did the effects of the thing led to the downfall of the incan empire on the inca empire affect the inca empire ?,smallpox,0.818181818,0.818181818,0.2421599,[0.2421599],SA
who recommended democratic decentralisation which is popularly known as panchayat raj?,Mahatma Gandhi,mahatma gandhi,mahatma gandhi advocated " panchayat raj " as the foundation of india ' s political system .,""" panchayat raj """,What did the person recommended democratic decentralisation which is popularly known as panchayat raj advocate as the foundation of india ' s political system ?,mahatma gandhi,0.785714286,0.733333333,0.24618058,"[0.011577626, 0.41427097, 0.5472961, 0.011577626]",NA
who is the actress in the new transformer movie?,Isabela Moner,rosie huntington - whiteley,much of the criticism towards rosie huntington - whiteley compared her in an unfavorable light to megan fox .,an unfavorable light,How did most of the criticism towards the actress in the new transformer movie compare her to megan fox ?,rosie huntington - whiteley,0.888888889,0.888888889,0.29940516,"[0.23182842, 0.3669819]",SA
what material is captain america's shield made out of?,vibranium,vibranium,the new vibranium - - captain america ' s shield - hero known as the patriot and leader of the young avengers .,the patriot and leader of the young avengers,What is the new material that is captain america's shield made out of - - captain america ' s shield - hero known as ?,vibranium,0.888888889,0.888888889,0.2922704,"[0.25269967, 0.2798133, 0.27198127, 0.36458734]",NA
where is human sperm stored in the body?,in the epididymis,epididymis,sperm are produced in the testes and stored in the attached epididymis .,sperm,What is produced in the testes and stored in the attached human sperm stored in the body ?,epididymis,0.9,0.9,0.5081742,[0.5081742],FP
what olympic sport is also known as ice chess?,curling,ice hockey,figure skating and ice hockey were also included in the summer olympics before the winter olympics were introduced in 1924 .,the summer olympics,Figure skating and the olympic sport is also known as ice chess were also included in what olympics ?,ice hockey,1,0.75,0.39371365,"[0.35742193, 0.4300054]",SA
who presides over the joint session of the indian parliament?,the Speaker,the speaker,the speaker also presides over the joint sitting of both houses of the parliament of india .,the joint sitting of both houses of the parliament of india,What other meetings does the person presides over the joint session of the indian parliament preside over ?,the house of commons,1,0.916666667,0.50414515,"[0.41229793, 0.46130338, 0.77905995, 0.51999664, 0.34806776]",NA
what nba team has won the most nba finals?,Boston Celtics,boston celtics,the boston celtics have won the most championships with 17 nba finals wins .,the most championships with 17 nba finals wins,How many championships have the nba team won the most nba finals won ?,17,1,1,0.37036693,"[0.21995546, 1.0, 0.13465859, 0.21760483, 0.2796158]",FP
who did the original while my guitar gently weeps?,the Beatles,the beatles,the song reflects the disharmonious atmosphere within the beatles following their return from india .,the song,What reflects the disharmonious atmosphere within the person did the original while my guitar gently weeps following their return from india ?,while my guitar gently weeps,1,1,0.4826751,[0.4826751],NA
who calls the cues for a show over the headset?,stage manager,stage manager,their responsibility lies primarily in advancing the cues under the direction of the deputy stage manager .,their responsibility,What is primarily in advancing the cues under the direction of the deputy person calls the cues for a show over the headset ?,light board operator,0.928571429,0.928571429,0.40227142,[0.40227142],NA
who was having tea with hatter in alice in wonderland?,the March Hare,the march hare,the dormouse sat between the march hare and the mad hatter .,the dormouse,Where was the person having tea with hatter in alice in wonderland and the mad hatter ?,the march hare,0.777777778,0.777777778,0.51687557,[0.51687557],NA
what is the meaning of wordpad in computer?,a basic word processor,word processor,wordpad wordpad is a basic word processor that is included with almost all versions of microsoft windows from windows 95 onwards .,wordpad wordpad,What is the basic meaning of wordpad in computer included with almost all versions of microsoft windows ?,word processor,0.928571429,0.722222222,0.5100297,"[0.5100297, 0.5100297]",NA
what language was the epic of gilgamesh written in originally?,Sumerian,akkadian,these independent stories were later used as source material for a combined epic in akkadian .,source material,What were the independent stories used for a combined epic in the language that was the epic of gilgamesh written in originally ?,akkadian,0.923076923,0.8,0.2864707,"[0.2828247, 0.29011673]",SA
who used the term state in modern sense for the first time?,Machiavelli,emperor ashoka,emperor ashoka of india put forward his idea of a welfare state in the 3rd century bce .,his idea of a welfare state,What did the person used the term state in modern sense for the first time put forward in the 3rd century ?,emperor ashoka,0.928571429,0.8125,0.3302625,"[0.2915249, 0.31022856, 0.389034]",SA
who has the sole power to call for impeachment?,the House of Representatives,house of representatives,the house of representatives has actually " initiated " impeachment proceedings 62 times since 1789 .,""" impeachment proceedings 62 times",How many times has the person has the sole power to call for impeachment been initiated impeachment proceedings ?,62,0.909090909,0.714285714,0.34822232,"[0.24639812, 0.13066533, 0.12130139, 1.0, 0.24274684]",FP
who translated the song we shall overcome in bengali?,Bengali folk singer Hemanga Biswas,hemanga biswas,hemanga biswas translated the internationale to bengali .,the internationale,What did the person translated the song we shall overcome in bengali translate to bengali ?,hemanga biswas,0.714285714,0.714285714,0.25060067,[0.25060067],SA
what led to the downfall of the incan empire?,Battle of Cajamarca,smallpox,the first was of 30 每 50 percent during the first outbreak of smallpox .,30 每 50 percent during,What was the first rate of the thing led to the downfall of the incan empire in the first outbreak of the thing led to the downfall of the incan empire ?,smallpox,0.846153846,1,0.11436302,"[0.114214286, 0.013967123, 0.14756583, 0.18170485]",SA
what is the punishment for being in contempt of court?,fines and jail time,a fine,a judge may impose sanctions such as a fine or jail for someone found guilty of contempt of court .,contempt of court,What can a judge impose the punishment for being in contempt of court or jail for someone found guilty of ?,fine,0.928571429,0.764705882,0.4249807,"[0.44386235, 0.40609905]",SA
who plays helena cassa dine on general hospital?,Constance Towers,constance towers,the character later is known to be portrayed by constance towers .,the character,Who is known to be portrayed by the person plays helena cassa dine on general hospital ?,constance towers,1,0.909090909,0.44805014,[0.44805014],NA
who sang when a man loves a woman first?,Percy Sledge,percy sledge,the percy sledge version is listed 53rd in " rolling stone " ' s 500 greatest songs of all time .,""" rolling stone "" ' s 500 greatest songs of all time",What is the person sang when a man loves a woman first version listed 53rd ?,percy sledge,0.944444444,0.894736842,0.25149897,"[0.0028354789, 0.3673909, 0.42812702, 0.0028354789, 0.045842372, 0.2499058, 0.38945764, 0.3560899, 0.42100596]",NA
